iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
AGO,agriculture,rice-cultivation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,3721.952256,tonnes,annual,2023-10-03 21:10:36.498129,
AGO,agriculture,rice-cultivation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,11056.387584,tonnes,annual,2023-10-03 21:10:36.498137,2023-10-26 21:55:51.634468
AGO,agriculture,rice-cultivation,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:36.49812,
AGO,agriculture,rice-cultivation,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,105.54918,tonnes,annual,2023-10-03 21:10:36.659345,
AGO,agriculture,rice-cultivation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:36.659335,
AGO,agriculture,rice-cultivation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,2870.937696,tonnes,annual,2023-10-03 21:10:36.65936,2023-11-06 17:00:17.186984
AGO,agriculture,rice-cultivation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,8528.373744,tonnes,annual,2023-10-03 21:10:36.659368,2023-11-06 17:00:17.186984
AGO,agriculture,rice-cultivation,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:36.659352,
AGO,agriculture,rice-cultivation,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,106.17618,tonnes,annual,2023-10-03 21:10:36.811975,
AGO,agriculture,rice-cultivation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:36.811965,
AGO,agriculture,rice-cultivation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,2887.992096,tonnes,annual,2023-10-03 21:10:36.811991,2023-11-06 17:00:17.321967
AGO,agriculture,rice-cultivation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,8579.035344,tonnes,annual,2023-10-03 21:10:36.811999,2023-11-06 17:00:17.321967
AGO,agriculture,rice-cultivation,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:36.811983,
AGO,agriculture,rice-cultivation,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,107.07906,tonnes,annual,2023-10-03 21:10:36.966719,
AGO,agriculture,rice-cultivation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:36.966708,
AGO,agriculture,rice-cultivation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,2912.550432,tonnes,annual,2023-10-03 21:10:36.966734,
AGO,agriculture,rice-cultivation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,8651.988048,tonnes,annual,2023-10-03 21:10:36.966742,
AGO,agriculture,rice-cultivation,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:36.966726,
AGO,agriculture,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,107.49288,tonnes,annual,2023-10-03 21:10:37.192487,
AGO,agriculture,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:37.192476,
AGO,agriculture,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,2923.806336,tonnes,annual,2023-10-03 21:10:37.192504,
AGO,agriculture,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,8685.424704,tonnes,annual,2023-10-03 21:10:37.192512,
AGO,agriculture,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:37.192494,
AGO,agriculture,rice-cultivation,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,107.49288,tonnes,annual,2023-10-03 21:10:37.375314,
AGO,agriculture,rice-cultivation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:37.375303,
AGO,agriculture,rice-cultivation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,2923.806336,tonnes,annual,2023-10-03 21:10:37.375331,
AGO,agriculture,rice-cultivation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,8685.424704,tonnes,annual,2023-10-03 21:10:37.375338,
AGO,agriculture,rice-cultivation,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:37.375322,
AIA,agriculture,rice-cultivation,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:36.171388,
AIA,agriculture,rice-cultivation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:36.171377,
